,minimum,maximum
PHBS_syn_1,5.000000000000001,10.0
3OXCOAT,0.0,10.000000000000009
AACLAM,0.0,30.776666666666713
AACOAR_syn,5.000000000000001,10.00000000000001
ACACT1r,-10.0,15.79092592592592
ACACT2r,-8.944166666666657,0.0020007899003734245
ACACT3r,-8.944166666666655,0.0020008231037044904
APATi,0.0,10.0
BSCT,-3.242423928036757e-05,4.990810810810809
CS,0.0,19.96599999999994
DHNCOAT,0.0,3.431979979896833e-05
DHPACCOAHIT,0.0,10.000000000000004
DPCOAK,3.589610681917366e-15,10.258888888888887
FACOAE120,0.0,5.504102564102558
FACOAE140,0.0,15.388333333333334
FACOAE160,0.0,15.388333333333327
FACOAE161,0.0,15.388333333333327
FACOAE180,0.0,6.155333333333326
FACOAL100t2pp,0.0,8.89504016064257
FACOAL120t2pp,0.0,8.13990094105993
FACOAL140,0.0,15.388333333333547
FACOAL140_ISO,0.0,0.00015487036452979013
FACOAL140t2pp,0.0,7.148460323726885
FACOAL141t2pp,0.0,7.232219730698809
FACOAL150_ISO,0.0,0.003100736445540093
FACOAL150_anteiso,0.0,0.005271251957418144
FACOAL160,0.0,15.388333333333314
FACOAL160_ISO,0.0,0.0007751841113850233
FACOAL160t2pp,0.0,7.694166666666668
FACOAL161,0.0,15.388333333333328
FACOAL161t2pp,0.0,6.1553333333333295
FACOAL170_ISO,0.0,0.0010852577559390206
FACOAL170_anteiso,0.0,0.0026356259787090833
FACOAL180_2,0.0,0.0004651104668310147
FACOAL180t2pp,0.0,6.15533333333334
FACOAL181,0.0,2.1147845804988616
FACOAL181t2pp,0.0,1.7764190476190433
FACOAL60t2pp,0.0,8.944166666666671
FACOAL80t2pp,0.0,8.94416666666665
FAS140,0.0,5.504102564102558
G1PACT,0.0,9.999999999999998
G3POA_BS,0.0,0.007751841113850214
GLYAT,-10.0,10.0
Growth,0.0,0.38759205569251154
HIBHr,0.0,10.661145833333329
HSERTA,0.0,9.232999999999993
IPPS,0.0,9.296111111111111
KAS1,0.0,0.00015493422700816077
KAS11,0.0,0.0010852577559390334
KAS12,0.0,0.002635625978709083
KAS13,0.0,0.0004651104668310145
KAS17,0.0,2.1147845804988656
KAS2,0.0,2.612380952380952
KAS3,0.0,0.0031007364455400907
KAS4,0.0,0.005271251957418172
KAS6,0.0,0.0007751841113850255
KAS7,0.0,2.3373934837092643
KAS8,0.0,2.337393483709259
MACCOAT,0.0,11.44416666666666
MALS,0.0,11.643999999999986
MCITS,0.0,18.339722222222164
MMSAD1,0.0,10.661145833333311
MMSAD2,0.0,16.59024691358023
MMSAD3,0.0,9.999999999999995
MMSDHir,0.0,10.661145833333302
NPHS,0.0,3.4925058103464635e-05
OBDHc,0.0,11.092222222222212
OIVD1r,-10.0,8.271296296296292
OIVD2,0.0,7.05724137931036
OIVD3,0.0,11.444166666666655
OXDHCOAT,0.0,10.0
PACCOAL,0.0,10.000000000000002
PBUTT,-10.0,9.999999999999988
PDH,0.0,16.444166666666664
PDHbr,0.0,16.444166666666657
POR_syn,0.0,15.534645669291336
PTA2,0.0,30.77666666666665
PTAr,-10.0,10.000000000000002
PTRCAT1,0.0,7.69416666666667
SERAT,0.0,18.136825396825397
SSCOARy,-10.0,22.205238095238084
SUCBZL,0.0,4.990810810810816
